@relation edificios

@attribute numero numeric
@attribute apartamentos numeric
@attribute personas numeric
@attribute pasos numeric
@attribute asociacion numeric

@data

1,18,82,4,1
3,19,79,4,3
4,15,51,2,3
5,14,38,3,1
6,15,26,3,6
7,15,62,2,7
8,23,90,4,7
11,3,4,3,56
13,19,48,2,42
14,25,51,3,42
16,21,98,3,42
19,3,4,2,56
21,10,22,2,42
22,12,27,2,42
23,12,24,2,42
24,6,14,1,42
25,12,23,2,42
26,18,38,2,42
27,7,23,2,6
28,9,35,2,6
29,12,51,2,6
30,6,21,1,6
31,11,43,3,6
32,9,31,2,6
40,6,22,1,42
41,9,31,2,42
42,5,18,1,42
43,5,16,2,42
44,6,35,3,3
45,10,34,2,6
46,11,36,3,6
47,6,20,1,69
48,9,34,2,69
50,1,1,1,56
52,1,2,1,69
54,12,44,2,69
56,10,55,3,56
57,4,24,1,56
58,6,34,2,56
59,6,34,1,56
60,4,22,1,56
66,6,17,1,69
67,7,21,2,69
68,11,30,2,71
69,11,30,3,69
70,6,15,1,69
71,8,22,2,71
72,3,7,2,71
73,6,14,2,71
74,8,20,2,69
75,14,44,3,71
76,11,39,2,71
77,6,17,2,71
78,9,27,2,71
79,6,42,1,84
80,4,34,1,84
81,8,60,2,84
82,9,61,2,84
83,10,79,2,84
84,7,55,2,84
85,12,76,3,84
86,9,60,2,84
87,14,85,2,92
88,7,50,2,92
89,10,69,2,92
90,9,52,2,92
91,13,92,2,92
92,10,59,2,92
93,13,83,2,93
94,20,55,3,71
95,7,33,2,93
96,4,24,1,93
97,4,31,1,93
101,12,66,2,101
103,4,19,1,101
104,4,19,1,107
105,10,52,2,101
106,6,28,2,107
107,10,58,2,107
109,3,20,1,112
110,3,18,1,112
111,6,36,1,112
112,11,63,2,112
113,12,26,1,120
114,12,27,1,120
115,9,18,1,120
116,9,19,1,120
117,8,22,1,120
118,9,18,1,120
119,12,22,1,120
120,11,26,1,120
121,11,60,2,122
122,7,23,2,122
123,3,17,1,122
124,2,11,1,122
125,8,36,2,122
126,11,59,2,122
127,12,23,1,130
128,12,29,1,130
129,9,16,1,130
130,8,17,1,130
131,9,19,1,130
132,9,14,1,130
133,12,26,1,130
134,12,29,1,130
135,15,97,3,136
136,11,66,2,136
137,3,9,1,136
138,3,17,1,136
139,1,2,1,136
140,4,22,1,136
141,14,52,2,142
142,21,59,3,142
143,20,59,3,142
144,14,72,2,136
145,1,1,1,136
146,2,2,1,136
148,6,23,1,142
149,12,40,2,142
150,21,80,3,142
152,14,40,2,142
153,3,11,1,142
154,3,7,1,142
155,13,35,2,142
156,13,30,2,142
