@relation edificios_instructores_unido

@attribute numero numeric
@attribute apartamentos numeric
@attribute personas numeric
@attribute pasos numeric
@attribute asociacion numeric
@attribute hay numeric
@attribute debe numeric

@data

1,18,82,4,1,1,4
3,19,79,4,3,2,4
4,15,51,2,3,2,4
5,14,38,3,1,1,4
6,15,26,3,6,2,3
7,15,62,2,7,1,4
8,23,90,4,7,1,4
11,3,4,3,56,2,6
13,19,48,2,42,1,4
14,25,51,3,42,1,4
16,21,98,3,42,1,4
19,3,4,2,56,2,6
21,10,22,2,42,1,4
22,12,27,2,42,1,4
23,12,24,2,42,1,4
24,6,14,1,42,1,4
25,12,23,2,42,1,4
26,18,38,2,42,1,4
27,7,23,2,6,2,3
28,9,35,2,6,2,3
29,12,51,2,6,2,3
30,6,21,1,6,2,3
31,11,43,3,6,2,3
32,9,31,2,6,2,3
40,6,22,1,42,1,4
41,9,31,2,42,1,4
42,5,18,1,42,1,4
43,5,16,2,42,1,4
44,6,35,3,3,2,4
45,10,34,2,6,2,3
46,11,36,3,6,2,3
47,6,20,1,69,2,3
48,9,34,2,69,2,3
50,1,1,1,56,2,6
52,1,2,1,69,2,3
54,12,44,2,69,2,3
56,10,55,3,56,2,6
57,4,24,1,56,2,6
58,6,34,2,56,2,6
59,6,34,1,56,2,6
60,4,22,1,56,2,6
66,6,17,1,69,2,3
67,7,21,2,69,2,3
68,11,30,2,71,2,3
69,11,30,3,69,2,3
70,6,15,1,69,2,3
71,8,22,2,71,2,3
72,3,7,2,71,2,3
73,6,14,2,71,2,3
74,8,20,2,69,2,3
75,14,44,3,71,2,3
76,11,39,2,71,2,3
77,6,17,2,71,2,3
78,9,27,2,71,2,3
79,6,42,1,84,4,8
80,4,34,1,84,4,8
81,8,60,2,84,4,8
82,9,61,2,84,4,8
83,10,79,2,84,4,8
84,7,55,2,84,4,8
85,12,76,3,84,4,8
86,9,60,2,84,4,8
87,14,85,2,92,3,6
88,7,50,2,92,3,6
89,10,69,2,92,3,6
90,9,52,2,92,3,6
91,13,92,2,92,3,6
92,10,59,2,92,3,6
93,13,83,2,93,2,2
94,20,55,3,71,2,3
95,7,33,2,93,2,2
96,4,24,1,93,2,2
97,4,31,1,93,2,2
101,12,66,2,101,2,6
103,4,19,1,101,2,6
104,4,19,1,107,2,6
105,10,52,2,101,2,6
106,6,28,2,107,2,6
107,10,58,2,107,2,6
109,3,20,1,112,4,6
110,3,18,1,112,4,6
111,6,36,1,112,4,6
112,11,63,2,112,4,6
113,12,26,1,120,2,3
114,12,27,1,120,2,3
115,9,18,1,120,2,3
116,9,19,1,120,2,3
117,8,22,1,120,2,3
118,9,18,1,120,2,3
119,12,22,1,120,2,3
120,11,26,1,120,2,3
121,11,60,2,122,3,6
122,7,23,2,122,3,6
123,3,17,1,122,3,6
124,2,11,1,122,3,6
125,8,36,2,122,3,6
126,11,59,2,122,3,6
127,12,23,1,130,2,3
128,12,29,1,130,2,3
129,9,16,1,130,2,3
130,8,17,1,130,2,3
131,9,19,1,130,2,3
132,9,14,1,130,2,3
133,12,26,1,130,2,3
134,12,29,1,130,2,3
135,15,97,3,136,5,6
136,11,66,2,136,5,6
137,3,9,1,136,5,6
138,3,17,1,136,5,6
139,1,2,1,136,5,6
140,4,22,1,136,5,6
141,14,52,2,142,2,3
142,21,59,3,142,2,3
143,20,59,3,142,2,3
144,14,72,2,136,5,6
145,1,1,1,136,5,6
146,2,2,1,136,5,6
148,6,23,1,142,2,3
149,12,40,2,142,2,3
150,21,80,3,142,2,3
152,14,40,2,142,2,3
153,3,11,1,142,2,3
154,3,7,1,142,2,3
155,13,35,2,142,2,3
156,13,30,2,142,2,3
